,gens,fit_run_0,fit_run_1
0,0,536524161.28518605,536948616.0823928
1,1,536524161.28518605,536948616.0823928
2,2,536524161.28518605,536948616.0823928
3,3,536524161.28518605,536948616.0823928
4,4,15325488.337529957,466340412.9684954
5,5,273890232.97670764,466340412.9684954
6,6,273890232.97670764,466340412.9684954
7,7,15325488.337529963,466340412.9684954
8,8,15325488.337529957,466340412.9684954
9,9,15325488.337529957,466340412.9684954
10,10,15325488.337529957,466340412.9684954
11,11,15325488.337529957,466340412.9684954
12,12,15325488.337529957,466340412.9684954
13,13,15325488.337529957,465626926.839407
14,14,15325488.337529957,465012980.8037347
15,15,15325488.337529957,462810018.2377565
16,16,15325488.337529957,462087802.7102494
17,17,15325488.337529957,462087802.7102494
18,18,15325488.337529957,462087802.7102494
19,19,15325488.337529957,461239612.5497331
20,20,15325488.337529957,461095483.6655715
21,21,15325488.337529957,461095483.6655715
22,22,15325488.337529957,458952624.79703027
23,23,15325488.337529957,458952624.79703027
24,24,15325488.337529957,458952624.79703027
25,25,15325488.337529957,458952624.79703027
26,26,15325488.337529957,458952624.79703027
27,27,15325488.337529957,458952624.79703027
28,28,15325488.337529957,458952624.79703027
29,29,15325488.337529957,458952624.79703027
30,30,15325488.337529957,458952624.79703027
31,31,15325488.337529957,458952624.79703027
32,32,15325488.337529957,458952624.79703027
33,33,15325488.337529957,458952624.79703027
34,34,15325488.337529957,458952624.79703027
35,35,15325488.337529957,458952624.79703027
36,36,15325488.337529957,458952624.79703027
37,37,15325488.337529957,458952624.79703027
38,38,15325488.337529957,458952624.79703027
39,39,15325488.337529957,458952624.79703027
40,40,15325488.337529957,458952624.79703027
41,41,15325488.337529957,458952624.79703027
42,42,15325488.337529957,458952624.79703027
43,43,15325488.337529957,458952624.79703027
44,44,15325488.337529957,458952624.79703027
45,45,15325488.337529957,458952624.79703027
46,46,15325488.337529957,458952624.79703027
47,47,15325488.337529957,458952624.79703027
48,48,15325488.337529957,458952624.79703027
49,49,15325488.337529957,458952624.79703027
50,50,15325488.337529957,458952624.79703027
51,51,15325488.337529957,458952624.79703027
52,52,15325488.337529957,458952624.79703027
53,53,15325488.337529957,458952624.79703027
54,54,15325488.337529957,458952624.79703027
55,55,15325488.337529957,458592373.4999885
56,56,15325488.337529957,458592373.4999885
57,57,15325488.337529957,458592373.4999885
58,58,15325488.337529957,458592373.4999885
59,59,15325488.337529957,458592373.4999885
60,60,15325488.337529957,458592373.4999885
61,61,15325488.337529957,458592373.4999885
62,62,15325488.337529957,458592373.4999885
63,63,15325488.337529957,458592373.4999885
64,64,15325488.337529957,411268449.27288264
65,65,15325488.337529957,411268449.27288264
66,66,15325488.337529957,411268449.27288264
67,67,15325488.337529957,411268449.27288264
68,68,15325488.337529957,411268449.27288264
69,69,15325488.337529957,411268449.27288264
70,70,15325488.337529957,411268449.27288264
71,71,15325488.337529957,411268449.27288264
72,72,15325488.337529957,411268449.27288264
73,73,15325488.337529957,411268449.27288264
74,74,15325488.337529957,411268449.27288264
75,75,15325488.337529957,411268449.27288264
76,76,15325488.337529957,411268449.27288264
77,77,15325488.337529957,410633847.8420669
78,78,15325488.337529957,410633847.8420669
79,79,15325488.337529957,410633847.8420669
80,80,15325488.337529957,410459712.41035813
81,81,15325488.337529957,410459712.41035813
82,82,15325488.337529957,410459712.41035813
83,83,15325488.337529957,410459712.41035813
84,84,15325488.337529957,408709812.70309097
85,85,15325488.337529957,408709812.70309097
86,86,15325488.337529957,408709812.70309097
87,87,15325488.337529957,408709812.70309097
88,88,15325488.337529957,408709812.70309097
89,89,15325488.337529957,408709812.70309097
90,90,15325488.337529957,408709812.70309097
91,91,15325488.337529957,408709812.70309097
92,92,15325488.337529957,408709812.70309097
93,93,15325488.337529957,408709812.70309097
94,94,15325488.337529957,408709812.70309097
95,95,15325488.337529957,408709812.70309097
96,96,15325488.337529957,408709812.70309097
97,97,15325488.337529957,408709812.70309097
98,98,15325488.337529957,408709812.70309097
99,99,15325488.337529957,408406884.61326134
100,100,15325488.337529957,408406884.61326134
101,101,15325488.337529957,408406884.61326134
102,102,15325488.337529957,408406884.61326134
103,103,15325488.337529957,408406884.61326134
104,104,15325488.337529957,408406884.61326134
105,105,15325488.337529957,408406884.61326134
106,106,15325488.337529957,408406884.61326134
107,107,15325488.337529957,408406884.61326134
108,108,15325488.337529957,408406884.61326134
109,109,15325488.337529957,408406884.61326134
110,110,15325488.337529957,408406884.61326134
111,111,15325488.337529957,408406884.61326134
112,112,15325488.337529957,408406884.61326134
113,113,15325488.337529957,408406884.61326134
114,114,15325488.337529957,408406884.61326134
115,115,15325488.337529957,408406884.61326134
116,116,15325488.337529957,408406884.61326134
117,117,15325488.337529957,408406884.61326134
118,118,15325488.337529957,408406884.61326134
119,119,15325488.337529957,408406884.61326134
120,120,15325488.337529957,408406884.61326134
121,121,15325488.337529957,408406884.61326134
122,122,15325488.337529957,408406884.61326134
123,123,15325488.337529957,408406884.61326134
124,124,15325488.337529957,408406884.61326134
125,125,15325488.337529957,408406884.61326134
126,126,15325488.337529957,408406884.61326134
127,127,15325488.337529957,408406884.61326134
128,128,15325488.337529957,408406884.61326134
129,129,15325488.337529957,408406884.61326134
130,130,15325488.337529957,408406884.61326134
131,131,15325488.337529957,408406884.61326134
132,132,15325488.337529957,408406884.61326134
133,133,15325488.337529957,408406884.61326134
134,134,15325488.337529957,408406884.61326134
135,135,15325488.337529957,408406884.61326134
136,136,15325488.337529957,408406884.61326134
137,137,15325488.337529957,408406884.61326134
138,138,15325488.337529957,408406884.61326134
139,139,15325488.337529957,408406884.61326134
140,140,15325488.337529957,408406884.61326134
141,141,15325488.337529957,408406884.61326134
142,142,15325488.337529957,408406884.61326134
143,143,15325488.337529957,408406884.61326134
144,144,15325488.337529957,408406884.61326134
