,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5262594067.784196,5521272559.372838,5245642783.294531,5440986197.957905,5530504957.183756,5402177474.005085,5381168842.391148,5083337903.278879,5157440046.379497,5375862545.056872,5284764643.675638,5374614765.776865,5007664588.116546,4814875865.163746,5077060712.517207,5031680613.400987,5358564801.932284,5015823984.208513,5350273835.366031,5682482113.892565,4710743665.737981,5395074258.97114,5057825216.041951,5002802190.766416,5261881304.954477,5326653819.173325,5564826204.410766,4782741412.200632,5066814614.548364,5631484202.153703
1,1,3759040154.9320126,4949033203.890339,4933546842.79562,5179834792.96426,4356506409.258267,5021339775.053384,4825778634.085755,4974903702.149492,4317934724.203477,4834038266.873486,4853227981.828938,5061809942.57827,4893003238.120105,4561005567.008265,4581583207.575591,4065224140.1327276,4931105053.964604,4748154918.295672,4884020212.075678,5058232030.103804,4648898406.4297695,4678329079.889379,4558228257.377035,4593801898.751482,4983840328.358917,4815503319.2626505,4578228229.5434,4714810544.527284,4944493958.600168,5392676456.175564
2,2,3975427208.5578847,4845124690.455352,4323456655.488336,4832419455.658656,4652827149.05286,4482427150.610366,4191667089.4907765,4564956025.694821,4317934724.203477,4612419411.73236,4829612746.134115,4692443018.425539,4672711156.605302,3695826218.4650054,4216623888.2381477,4065224140.1327276,4609154293.3231125,4655248054.901699,4781703657.609427,4837783043.650745,4648898406.4297695,4397426689.637244,4558228257.377035,4593801898.751482,4450616269.721823,4471440735.822153,4418951716.287869,4480242287.694999,4761151816.903352,4636056646.307187
3,3,3975427208.5578847,4544337665.031039,4220089742.2144136,4026576652.2726884,4038696728.1189013,4250880949.2526217,4191667089.4907765,4114738114.7778835,4317934724.203477,4612419411.73236,4363352192.453572,4433159651.317633,4325673037.825356,4239515611.178837,4163721750.8086853,4065224140.1327276,4322185019.740833,4441250766.783296,4504604445.748065,4347411697.20881,4421032977.42905,4166799769.224491,4196294002.1562243,4017730610.272543,4241892784.44885,4430912233.641106,4231594187.3544884,3949221552.2614803,4035368955.687735,4636056646.307187
4,4,3961055910.113004,4096506956.591729,3858274396.251881,4026576652.2726884,4263676237.1965966,4209935620.4048157,3901625926.040447,3981334598.145322,4104741289.4266047,4002572703.6434503,3792353812.0687385,4341365426.918311,4361980274.303946,3683530134.998311,4107644874.1061344,3809153578.186412,3874972533.2656307,4098203105.0686316,4231816170.346396,4042932419.093249,3951954476.757335,4166799769.224491,4027853415.582135,3868174857.6865315,3876830157.973316,4071861142.195616,4140106380.8163548,3847067169.2982774,3930301702.247377,4385816225.008627
5,5,3933356201.8416567,3962518962.6504655,3858274396.251881,3544725420.6671934,4020602849.645647,4049960454.2507954,3901625926.040447,3697427398.6597733,3703374167.9066715,3924495054.491194,3792353812.0687385,4051399013.5460525,4056165990.5133185,3709021718.185331,3948992398.808678,3678245522.842688,3829317333.1018353,3831474856.674256,3927637632.309845,3892100145.9323254,3951954476.757335,3654152760.2436233,3938949996.3888006,3825332562.278558,3876830157.973316,3908780802.8499775,3753489189.3752027,3800049915.3247423,3930301702.247377,4255702602.511292
6,6,3572915980.83022,3901349018.26963,3828062248.599076,3544725420.6671934,3901112305.990285,3663139757.4625325,3811074792.1750727,3826535519.0803723,3653844713.0263557,3708296103.1374097,3749070410.877914,3680277213.2870526,3793001243.231917,3503128233.1798677,3693485270.6302276,3656740978.6723156,3636254123.901416,3739172024.369379,3813721476.6765194,3632453136.6262345,3758411554.721379,3739920254.0888667,3835498322.7682686,3667891593.541299,3653640926.163679,3881865374.091366,3622069566.929049,3541340857.955893,3749634552.1181116,4052717149.33851
7,7,3581865317.466986,3764809476.490382,3668021193.090378,3502171200.6975403,3772524677.2434053,3617703508.2844915,3494727801.6308675,3682731656.1635737,3562006377.0056567,3459900625.026953,3563111174.9705586,3680277213.2870526,3621156205.6061125,3503128233.1798677,3693485270.6302276,3536462517.037759,3539690093.961027,3550354418.2295547,3572482182.3882604,3629849919.491375,3610240621.387028,3627716782.3488655,3508542311.685926,3542667988.4769053,3577051767.306165,3649501687.954686,3622069566.929049,3492253723.461778,3451809694.507767,3705063271.0921144
8,8,3462370170.6728845,3437918141.474507,3539368881.2097607,3401992559.608481,3481462829.5990934,3395478803.658002,3490056815.117071,3697669488.6809025,3539833886.337374,3366256685.554968,3461312224.8141017,3560380283.8018837,3621156205.6061125,3535471485.3815827,3515600193.9580703,3446875654.162343,3440040683.087221,3550354418.2295547,3522759927.6931396,3465721178.3368225,3431169927.803546,3508821331.9206877,3469864864.754248,3542667988.4769053,3642440758.2616444,3411957137.7868724,3562831061.0976696,3423901503.6710796,3451809694.507767,3645047889.569751
9,9,3399824948.539435,3421185967.4654884,3520950755.28363,3388995550.9937305,3365908616.99536,3395478803.658002,3433264628.6138196,3384530538.8268385,3399241308.2923083,3366256685.554968,3434218479.1076293,3560547491.5171313,3373579403.339312,3358734968.9414415,3440416735.107457,3395827944.0891,3370955109.1691113,3445950015.217326,3378599062.765131,3427202976.5844893,3431169927.803546,3466842035.984085,3468050241.8066826,3465247844.5880976,3495294894.345465,3411957137.7868724,3446398400.024608,3423901503.6710796,3380598848.3450775,3524592701.8260503
