,gens,fit_run_0,fit_run_1,fit_run_2,fit_run_3,fit_run_4,fit_run_5,fit_run_6,fit_run_7,fit_run_8,fit_run_9,fit_run_10,fit_run_11,fit_run_12,fit_run_13,fit_run_14,fit_run_15,fit_run_16,fit_run_17,fit_run_18,fit_run_19,fit_run_20,fit_run_21,fit_run_22,fit_run_23,fit_run_24,fit_run_25,fit_run_26,fit_run_27,fit_run_28,fit_run_29
0,0,5005884455.132081,6386459324.799623,6735501828.70477,7454627217.863474,6457450805.295549,4560787967.314166,6443143489.804762,5301389962.133655,6413042724.274445,6442170635.721849,5527269977.398765,3788857795.5915413,6696654280.554132,7036715671.717579,6676831712.116437,5078534578.027859,6352678736.178772,6820024499.779115,6496252122.4594755,4270471860.8208756,6444145314.392195,6737561568.166102,3494201287.0280046,4231720651.489068,6446062392.89698,6500223043.495417,3389137817.880647,6405201587.573485,6407403170.872765,4149387337.390694
1,1,6204204509.994076,4007411073.4351964,6309246889.1575575,5006706994.328564,3843091331.387942,3556104258.1520257,4254416151.6456556,4241376747.689687,558783978.6572777,3700130252.613445,5527269977.398765,3788857795.5915413,3527290730.6659303,6371799924.19332,3688837438.577038,738723291.0268434,6352678736.178772,3505957255.1294527,3505957255.1294527,3505957255.1294527,3505957255.1294527,4140014195.6600533,1675032250.879482,3389809680.575079,5482372541.264399,1225571878.2161078,3389137817.880647,3468591227.8549366,792066632.9971293,4149387337.390694
2,2,1414593354.935065,3505957255.1294527,3505957255.1294527,5006706994.328564,3396794693.3190637,4560787967.314166,4254416151.6456556,2003135947.7704163,733837497.0203619,996423184.7130427,5527269977.398765,3651107936.0118504,4367326035.423925,3543390788.1602917,3688837438.577038,738723291.0268434,3505957255.1294527,173871717.66438636,3505957255.1294527,3505957255.1294527,4710488548.136898,3440523058.3490963,1675032250.879482,618703163.7535219,5841749792.101601,1225571878.2161078,265750237.5760495,2852429520.500549,792066632.9971293,1386281112.2901952
3,3,2394122904.7406673,3382871406.4129486,3505957255.1294527,5006706994.328564,3396794693.3190637,3505957255.1294527,3505957255.1294527,2003135947.7704163,733837497.0203619,900264217.7120886,5527269977.398765,850418638.2010455,943891711.0417022,3514446002.5917315,3004691167.360022,738723291.0268434,3505957255.1294527,1093677194.6392438,661293192.1960143,3505957255.1294527,539794088.1053478,3505957255.1294527,1321503187.448115,618703163.7535219,3505957255.1294527,1225571878.2161078,265750237.5760495,1150531949.4446201,792066632.9971293,210628654.61172992
4,4,3366563380.7326994,3022711408.2789445,2824795586.1187716,3362122689.5963926,3396794693.3190637,3505957255.1294527,769109659.3539678,2003135947.7704163,3505957255.1294527,63789670.552372515,3505957255.1294527,850418638.2010455,943891711.0417022,3253717257.793927,1966443349.3649259,738723291.0268434,3505957255.1294527,1093677194.6392438,661293192.1960143,1572710542.9455903,539794088.1053478,3505957255.1294527,3320316424.417164,42515371.25669516,3505957255.1294527,1225571878.2161078,265750237.5760495,1150531949.4446201,792066632.9971293,210628654.61172992
5,5,692431610.8678737,3022711408.2789445,459167440.5960572,3362122689.5963926,2085232952.1527045,722296721.5703609,769109659.3539678,752330506.6528896,3013260557.624762,63789670.552372515,1386484002.6230216,850418638.2010455,943891711.0417022,108020948.77557945,1644249705.28457,659494461.0873992,537716300.9061501,624356464.9685655,661293192.1960143,696693906.6948106,3367243360.4923983,3474925817.1413007,3320316424.417164,4509396.194417169,320286519.0818997,3228286428.2124925,265750237.5760495,301289542.9377509,792066632.9971293,210628654.61172992
6,6,692431610.8678737,137537836.658754,459167440.5960572,4816656752.127655,2085232952.1527045,694410257.2799008,1924957696.8126686,850100930.9622712,582347293.9400865,63789670.552372515,1386484002.6230216,850418638.2010455,214860616.22152606,58986029.84906855,1644249705.28457,564913221.1165546,663054163.684797,1093677194.6392438,661293192.1960143,536882167.2187933,818312901.456702,3474925817.1413007,2806087706.122325,4509396.194417169,320286519.0818997,3228286428.2124925,265750237.5760495,301289542.9377509,689526.5082146585,210628654.61172992
7,7,692431610.8678737,137537836.658754,459167440.5960572,4080925900.1489954,2085232952.1527045,431430645.45113975,920796298.2067561,111712.02565423757,582347293.9400865,63789670.552372515,1386484002.6230216,621758326.8018255,214860616.22152606,58986029.84906855,22407782.893392786,564913221.1165546,663054163.684797,1093677194.6392438,661293192.1960143,536882167.2187933,153061097.44059157,3474925817.1413007,540079561.6274842,4509396.194417169,320286519.0818997,1707053551.6354516,265750237.5760495,301289542.9377509,896483334.9490747,210628654.61172992
8,8,692431610.8678737,137537836.658754,263537738.57461727,3371758486.084789,1542928686.93362,431430645.45113975,109086662.30935115,111712.02565423757,582347293.9400865,41193501.29926261,16115213.914539848,850418638.2010455,1011103.6152736786,58986029.84906855,22407782.893392786,564913221.1165546,450506486.0748395,1093677194.6392438,661293192.1960143,536882167.2187933,818312901.456702,3474925817.1413007,9615465.879828705,4509396.194417169,320286519.0818997,778144336.3907943,265750237.5760495,1783953032.476718,896483334.9490747,210628654.61172992
9,9,692431610.8678737,6555854.762952868,263537738.57461727,3371758486.084789,490852.6287893227,33519114.89510306,109086662.30935115,111712.02565423757,582347293.9400865,41193501.29926261,9027214.693679862,850418638.2010455,96795697.71768863,58986029.84906855,110310046.82538623,564913221.1165546,450506486.0748395,1093677194.6392438,108897079.98344068,536882167.2187933,818312901.456702,3394639841.967445,9615465.879828705,4509396.194417169,112716500.77958506,778144336.3907943,59473693.485540755,1783953032.476718,706963892.6654124,210628654.61172992
10,10,692431610.8678737,6555854.762952868,202691.56092965932,3401815093.0349236,4941111.147628457,46722942.74432373,109086662.30935115,111712.02565423757,582347293.9400865,6382782.14938784,240107.5921524666,850418638.2010455,96795697.71768863,58986029.84906855,110310046.82538623,557360905.0297266,426864164.3723164,1093677194.6392438,108897079.98344068,536882167.2187933,771906755.0375056,1406806836.443678,157184135.74590138,4509396.194417169,112716500.77958506,778144336.3907943,12031941.578658583,402323977.95520484,706963892.6654124,210628654.61172992
