,gens,fit_run_0,fit_run_1
0,0,6474102194.60114,4351545873.82131
1,1,6390680853.284455,4283205447.0478816
2,2,3505957255.1294527,581453883.4968362
3,3,3505957255.1294527,1262383398.997306
4,4,540667745.7728115,5514393.104532937
5,5,3408848131.914869,5514393.104532937
6,6,3408848131.914869,5514393.104532937
7,7,3408848131.914869,5514393.104532937
8,8,819166479.4729486,5514393.104532937
9,9,819166479.4729486,5514393.104532937
10,10,718676147.0273416,5514393.104532937
11,11,718676147.0273416,5514393.104532937
12,12,649593184.6663206,5514393.104532937
13,13,649593184.6663206,5514393.104532937
14,14,543847833.8301721,5514393.104532937
15,15,105158150.21950157,5514393.104532937
16,16,105158150.21950157,5514393.104532932
17,17,543847833.830172,5514393.104532937
18,18,543847833.830172,5514393.104532937
19,19,543847833.830172,5514393.104532937
20,20,543847833.830172,5514393.104532937
21,21,543847833.830172,5514393.104532937
22,22,543847833.830172,5514393.104532937
23,23,543847833.830172,5514393.104532937
24,24,543847833.830172,5514393.104532937
25,25,543847833.830172,5514393.104532937
26,26,543847833.830172,5514393.104532937
27,27,543847833.830172,5514393.104532937
28,28,543847833.830172,5514393.104532932
29,29,543847833.830172,5514393.104532932
30,30,543847833.830172,5514393.104532932
31,31,543847833.830172,5514393.104532932
32,32,543847833.830172,5514393.104532932
33,33,541511872.2286166,5514393.104532932
34,34,541511872.2286166,5514393.104532932
35,35,537724126.454085,5514393.104532932
36,36,537724126.454085,5514393.104532932
37,37,537724126.454085,5514393.104532932
38,38,537724126.454085,5514393.104532932
39,39,537724126.454085,4867439.882545909
40,40,536923931.3708453,5514393.104532932
41,41,537724126.454085,5514393.104532932
42,42,537724126.454085,5514393.104532932
43,43,536498370.8122232,5514393.104532932
44,44,536495405.25330824,5514393.104532932
45,45,536495405.25330824,5514393.104532932
46,46,536495405.25330824,14070.543708817677
47,47,536495405.25330824,14070.543708817677
48,48,536495405.25330824,14070.543708817677
49,49,536495405.25330824,14070.543708817677
50,50,536495405.25330824,14070.543708817677
51,51,536495405.25330824,14070.543708817677
52,52,536495405.25330824,14070.543708817677
53,53,536495405.25330824,14070.543708817677
54,54,536495405.25330824,14070.543708817677
55,55,536495405.25330824,14070.543708817677
56,56,536495405.25330824,14070.543708817677
57,57,536495405.25330824,14070.543708817677
58,58,536495405.25330824,14070.543708817677
59,59,536495405.25330824,14070.543708817677
60,60,536495405.25330824,14070.543708817677
61,61,536495405.25330824,14070.543708817677
62,62,536495405.25330824,14070.543708817677
63,63,536495405.25330824,14070.543708817677
64,64,536495405.25330824,14070.543708817677
65,65,536495405.25330824,14070.543708817677
66,66,536495405.25330824,14070.543708817677
67,67,536495405.25330824,14070.543708817677
68,68,536495405.25330824,14070.543708817677
69,69,536495405.25330824,14070.543708817402
70,70,536495405.25330824,14070.543708817402
71,71,536495405.25330824,14070.543708817402
72,72,536495405.25330824,14070.543708817402
73,73,536495405.25330824,14070.543708817402
74,74,536495405.25330824,14070.543708817402
75,75,536495405.25330824,14070.543708817402
76,76,536495405.25330824,14070.543708817402
77,77,536495405.25330824,14070.543708817402
78,78,536495405.25330824,14070.543708817402
79,79,536495405.25330824,1892.3463808223473
80,80,536495405.25330824,1892.3463808223473
81,81,536495405.25330824,1892.3463808223473
82,82,536495405.25330824,1892.3463808223473
83,83,536495405.25330824,1892.3463808223473
84,84,201984535.19562304,1892.3463808223473
85,85,536495405.25330824,1892.3463808223473
86,86,536495405.25330824,1892.3463808223473
87,87,536495405.25330824,1892.3463808223473
88,88,536495405.25330824,1892.3463808223473
89,89,536495405.25330824,1892.3463808223473
90,90,536495405.25330824,1892.3463808223473
91,91,536495405.25330824,1892.3463808223473
92,92,536495405.25330824,1892.3463808223473
93,93,536495405.25330824,1892.3463808223473
94,94,536495405.25330824,1892.3463808223473
95,95,536495405.25330824,1892.3463808223473
96,96,536495405.25330824,1892.3463808223473
97,97,536495405.25330824,1892.3463808222682
98,98,536495405.25330824,1892.3463808222682
99,99,536495405.25330824,1892.3463808222682
100,100,536495405.25330824,1892.3463808222682
